product_id;ean;qty;date;price;tax;category;name;short_description;description
37;00703JF;26;2011-12-27 15:36:06;877.000000;;BibaToys;"Развивающая игр.Занятой лев(35см)(от6м)""";Большая мягкая игрушка в виде весёлого льва, с развивающими элементами: зеркало, погремушка, прорезыватель, вибрирующий элемент и пр. для развития моторики и тактильных ощущений.;<p>Большая мягкая игрушка в виде весёлого льва, с развивающими элементами: зеркало, погремушка, прорезыватель, вибрирующий элемент и пр. для развития моторики и тактильных ощущений.<br />Материал - полиэстер</p>
38;00706QB;22;2011-12-27 15:36:06;0.000000;;BibaToys;"Развив.игр. Сортирующий ёжик""(от6м)""";Ежик несомненно станет первым другом малыша. Разнообразие цветов, развивающих, звуковых элементов содействует миропознанию ребенка.;Ежик несомненно станет первым другом малыша. Разнообразие цветов, развивающих, звуковых элементов содействует миропознанию ребенка. <br />Материал - полиэстер
39;00780JF;1;2011-12-27 15:36:06;94.000000;;BibaToys;"Игрушка на ручку ""Крокодильчик, Бегемотик, Львенок""";Добрые друзья Львенок, Крокодильчик и Бегемотик могут быть всегда рядом! Игрушки крепятся на ручку малышу, доставляя ему большую радость общения.;<p>Добрые друзья Львенок, Крокодильчик и Бегемотик могут быть всегда рядом! Игрушки крепятся на ручку малышу, доставляя ему большую радость общения. Благоприятны для развития тактильного и зрительного воспрития с первых месяцев жизни.Материал - полиэстер</p>
40;00938BH;49;2011-12-27 15:36:06;107.000000;;BibaToys;"Игрушка-подвеска с прищепкой ""Лошадка"",""Коровка"",""Овечка""(от 0 мес.)";Мягкие забавные разноцветные животные развлекут любого малыша. Познавать мир станет намного интереснее. Игрушки крепятся на кроватку.;<p>Мягкие забавные разноцветные животные развлекут любого малыша. Познавать мир станет намного интереснее. Игрушки крепятся на кроватку.<br />Материал - полиэстер. </p>
41;00938JF;232;2011-12-27 15:36:06;0.000000;;BibaToys;"Игрушка-подвеска с прищепкой ""Крокодильчик"",""Бегемотик""""Львёнок""(от 0 мес.)";Создать веселое настроение малышу помогут подвесные зверюшки. Приятные на ощупь яркие персонажи помогут малышу познавать мир с первых месяцев жизни.;<p>Создать веселое настроение малышу помогут подвесные зверюшки. Приятные на ощупь яркие персонажи помогут малышу познавать мир с первых месяцев жизни. Материал - полиэстер</p>
42;00948JF;77;2011-12-27 15:36:06;107.000000;;BibaToys;"Вибрирующий ""Крокодил"",""Бегемот"",""Лев""(от 3 мес.)";Забавная и добрая вибрирующая зверушка станет первым другом  вашего малыша.;<p>Забавная и добрая вибрирующая зверушка станет первым другом  вашего малыша. <br />Материал - полиэстер. Сухая чистка</p>
43;00950JF;100;2011-12-27 15:36:06;1822.000000;;BibaToys;"Мобиль в кроватку Джунгли (от 0 мес.)""";"Мобиль музыкальный светящийся со светильником ""ночник"", с пультом ДУ на инфракрасных лучах. Различные звуки живой природы и классическая музыка. С функцией записи голоса и иммитацией звука КТГ. Создан специально для развития у детей визуальных и звуковых";"<p>Мобиль музыкальный светящийся со светильником ""ночник"", с пультом ДУ на инфракрасных лучах. Различные звуки живой природы и классическая музыка. С функцией записи голоса и иммитацией звука КТГ. Создан специально для развития у детей визуальных и звуковых ощущений. Крепится к детской кроватке. Забавные  животные вращающиеся в двух плоскостях, и мягкий переливающийся свет, помогут малышу уснуть. Батарейки АА.</p>  <p>Материал - полиэстер,пластик</p>"
44;3024;182;2011-12-27 15:36:06;161.000000;;Play WOW;Обучающая книга ( от 6 мес.);Забавная, мягкая книга с 4 страницами для изучения во время еды. Наблюдайте за львёнком, как он готовится к еде, ест, и умывается после еды. Обучает всем шагам до, во время, и после еды. Способствует визуальной памяти и ассоциации изображений. Приятная на ощупь, мягкий ПВХ с гладкими краями.;<p>Забавная, мягкая книга с 4 страницами для изучения во время еды. Наблюдайте за львёнком, как он готовится к еде, ест, и умывается после еды. Обучает всем шагам до, во время, и после еды. Способствует визуальной памяти и ассоциации изображений. Приятная на ощупь, мягкий ПВХ с гладкими краями.</p>  <p> </p>
45;3025;376;2011-12-27 15:36:06;310.000000;;Play WOW;Развивающий ролик с шарами (от 6 мес.);Большая надувная игрушка, которая представляет красочные иллюстрации с  разными характерами. Игрушка имеет окошки различной геометрической формы для того, чтобы наблюдать обстановку и звенящие шары внутри неё.;<p>Большая надувная игрушка, которая представляет красочные иллюстрации с  разными характерами. Игрушка имеет окошки различной геометрической формы для того, чтобы наблюдать обстановку и звенящие шары внутри неё. При ползании, игрушка развивает моторику, мышцы спины, и учит держать равновесие.</p>
46;3026;200;2011-12-27 15:36:06;404.000000;;Play WOW;Музыкальный развивающий ролик с шарами (от 6 мес.);Надувная игрушка, имеет окошки различной геометрической формы для того, чтобы наблюдать обстановку и звенящие шары внутри неё. При ползании, игрушка развивает моторику, мышцы спины, и учит держать равновесие.Приятная на ощупь, мягкий ПВХ с гладкими краями.;<p>Надувная игрушка, имеет окошки различной геометрической формы для того, чтобы наблюдать обстановку и звенящие шары внутри неё. При ползании, игрушка развивает моторику, мышцы спины, и учит держать равновесие. Приятная на ощупь, мягкий ПВХ с гладкими краями.</p>
47;3027;291;2011-12-27 15:36:06;202.000000;;Play WOW;"Неваляшка Лев (от 6 мес.)""";Львёнок - маленький и дружелюбный для детей. Это надувная игрушка с полусферическим дном, заполняемым песком или водой для того, чтобы вставать каждый раз, когда ребёнок его толкает.;<p>Львёнок - маленький и дружелюбный для детей. Это надувная игрушка с полусферическим дном, заполняемым песком или водой для того, чтобы вставать каждый раз, когда ребёнок его толкает. Приятная на ощупь, мягкий ПВХ с гладкими краями. Моющаяся поверхность.</p>
48;3033;233;2011-12-27 15:36:06;526.000000;;Play WOW;Веселое катание на льве (от 36 мес.);Большой надувной лев, на котором можно сидеть и кататься. Прекрасно подходит по размеру для малыша. С каждым сильным ударом или скачком ребенка, лев издаёт свистящий звук (батарейки не требуются).;<p>Большой надувной лев, на котором можно сидеть и кататься. Прекрасно подходит по размеру для малыша. С каждым сильным ударом или скачком ребенка, лев издаёт свистящий звук (батарейки не требуются). Устойчивый, расположение лап удобно и не мешает ногам ребёнка. Приятная на ощупь, мягкий ПВХ с гладкими краями.</p>
49;3034;242;2011-12-27 15:36:06;310.000000;;Play WOW;Развивающий ролик и мяч с шарами (от 6 мес.);Включает две надувные игрушки, которые прекрасно подходят для игр во время ползания. И мяч и ролик содержат красочные иллюстрации и различные характеры. Звенящие шары и захватывающая обстановка внутри них. Игрушки развивают моторику, мышцы спины, и учит держать равновесие.Приятная на ощупь, мягкий ПВХ с гладкими краями.;<p>Включает две надувные игрушки, которые прекрасно подходят для игр во время ползания. И мяч и ролик содержат красочные иллюстрации и различные характеры. Звенящие шары и захватывающая обстановка внутри них. Игрушки развивают моторику, мышцы спины, и учит держать равновесие.Приятная на ощупь, мягкий ПВХ с гладкими краями.</p>
50;3036;195;2011-12-27 15:36:06;431.000000;;Play WOW;"Ковер Динозаврик (от 3 мес.)""";Основная полость заполняется водой, с плавающими внутри друзьями, которые двигаются с каждым прикосновением ребенка, для визуальной и осязательной забавы. Игрушка укрепляет мышцы шеи, рук и спины.;<p>Основная полость заполняется водой, с плавающими внутри друзьями, которые двигаются с каждым прикосновением ребенка, для визуальной и осязательной забавы. Игрушка укрепляет мышцы шеи, рук и спины. <br />Помогает развивать визуальное и осязательное восприятие. <br />Приятная на ощупь, мягкий ПВХ с гладкими краями.</p>
51;3037;380;2011-12-27 15:36:06;390.000000;;Play WOW;"Большая неваляшка Дракончик (от 12 мес.)""";Игривый надувной дракончик возвращается назад после каждого толчка малыша. Игрушка ростом с ребёнка (65 см). Нижняя часть заполняется водой, для надлежащего баланса. Помогает усилить координацию мелкой моторики и развивает мышцы рук и спины, а так же координацию движений. Приятная на ощупь, мягкий ПВХ с гладкими краями. Моющаяся поверхность.;<p>Игривый надувной дракончик возвращается назад после каждого толчка малыша. Игрушка ростом с ребёнка (65 см). Нижняя часть заполняется водой, для надлежащего баланса. Помогает усилить координацию мелкой моторики и развивает мышцы рук и спины, а так же координацию движений. Приятная на ощупь, мягкий ПВХ с гладкими краями. Моющаяся поверхность.</p>
52;3043;213;2011-12-27 15:36:06;647.000000;;Play WOW;"Активное кресло Львенок (от 36 мес.)""";Собственное надувное кресло ребенка с различным развивающими элементами. Включает шар со звенящим звуком на одном подлокотнике, и забавной книгой на другом. Впереди у кресла есть три кармашка с весёлыми друзьями. Приятная на ощупь, мягкий ПВХ с гладкими краями.;"<p>Собственное надувное кресло ребенка с различным развивающими элементами. Включает шар со звенящим звуком на одном подлокотнике, и забавной книгой на другом. Впереди у кресла есть три кармашка с весёлыми друзьями. <span style=""line-height: 1.3em;"">Приятная на ощупь, мягкий ПВХ с гладкими краями.</span></p>"
53;3044;234;2011-12-27 15:36:06;304.000000;;Play WOW;"Набор брызгалок Морские обитатели (от 18 мес.)""";5 фигурок морских обитателей брызгают водой при сжатии. Развлекает ребенка во время купания. Отлично подходит для маленьких ручек малыша. Развивает мышцы рук. Приятные на ощупь, мягкий ПВХ с гладкими краями. Стойкая окраска.;<p>5 фигурок морских обитателей брызгают водой при сжатии. Развлекает ребенка во время купания. Отлично подходит для маленьких ручек малыша. Развивает мышцы рук. Приятные на ощупь, мягкий ПВХ с гладкими краями. Стойкая окраска.</p>
54;3061;248;2011-12-27 15:36:06;1552.000000;;Play WOW;"Сухой бассейн с шарами Слон (от 18 мес.)""";Надувной бассейн подходит для игр в комнате и на улице. Включает 20 мягких шаров различных цветов.;<p>Надувной бассейн подходит для игр в комнате и на улице. Включает 20 мягких шаров различных цветов.Также включает два надувных кольца для набрасывания на хобот слона. Достаточно места одновременной игры 2 детей.</p>
55;3067;246;2011-12-27 15:36:06;1552.000000;;Play WOW;"Сухой бассейн с шарами Джунгли (от 18 мес.)""";Надувной бассейн подходит для игр в комнате и на улице. Включает 20 мягких шаров различных цветов.;<p>Надувной бассейн подходит для игр в комнате и на улице. Включает 20 мягких шаров различных цветов. Также включает 3 надувных кольца и отверстие для забрасывания шаров. Достаточно места одновременной игры 2 детей. Приятные на ощупь, мягкий ПВХ с гладкими краями. Мыть влажной губкой.</p>
56;3073;223;2011-12-27 15:36:06;256.000000;;Play WOW;Набор брызгалок (от 18 мес.);4 забавных зверюшки брызгают водой при сжатии. Это развлекает ребенка во время купания. Набор включает сетку на присосках к кафелю, чтобы держать их.;<p>4 забавных зверюшки брызгают водой при сжатии. Это развлекает ребенка во время купания. Набор включает сетку на присосках к кафелю, чтобы держать их. </p>
57;3075;215;2011-12-27 15:36:06;404.000000;;Play WOW;Лодка с друзьями (от 18 мес.);Забавная надувная лодка для игры во время принятия ванны. Включает 2 фигурки животные-брызгалки, которые подходят чтобы сжимать, для маленьких ручек. Лодка имеет 3 открывающиеся створки и якорь.   Приятные на ощупь, мягкий ПВХ с гладкими краями. Стойкая окраска.;<p>Надувная лодка для игры во время принятия ванны. Включает 2 фигурки животные-брызгалки, которые подходят чтобы сжимать, для маленьких ручек. Лодка имеет 3 открывающиеся створки и якорь. Приятные на ощупь, мягкий ПВХ с гладкими краями. Стойкая окраска.</p>
58;3076;308;2011-12-27 15:36:06;161.000000;;Play WOW;Книга в ванну (от 18 мес.);Интересная книга с 4 страницами для того, чтобы изучать во время принятия ванны. Наблюдайте за слоником, как он играет, пачкается, и затем моется. Обучает всем шагам до, во время, и после купания. Способствует визуальной памяти и ассоциации изображений.;<p>Интересная книга с 4 страницами для того, чтобы изучать во время принятия ванны. Наблюдайте за слоником, как он играет, пачкается, и затем моется. Обучает всем шагам до, во время, и после купания. Способствует визуальной памяти и ассоциации изображений.</p>
59;3077;230;2011-12-27 15:36:06;580.000000;;Play WOW;Аквапарк (от 18 мес.);Забавный игровой сделает принятие ванны приятным. Набор включает 3 животных, брызгающих водой при сжатии, а так же развивающие элементы. Зверюшки могут кататься с горки. Впереди открывающаяся раковина и обруч. Надёжно крепится присосками к кафелю. Приятные на ощупь, мягкий ПВХ с гладкими краями. Стойкая окраска.;<p>Забавный игровой сделает принятие ванны приятным. Набор включает 3 животных, брызгающих водой при сжатии, а так же развивающие элементы. Зверюшки могут кататься с горки. Впереди открывающаяся раковина и обруч. Надёжно крепится присосками к кафелю. Приятные на ощупь, мягкий ПВХ с гладкими краями. Стойкая окраска.</p>  <p> </p>
